fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.10,0.21,0.32,2.20,0.04,28.00,141.00,0.99,3.20,0.57,10.00,7.00
6.90,0.36,0.34,4.20,0.02,57.00,119.00,0.99,3.28,0.36,12.70,9.00
6.00,0.28,0.34,1.60,0.12,33.00,104.00,0.99,3.19,0.38,10.20,6.00
6.20,0.16,0.54,1.40,0.13,37.00,110.00,0.99,3.23,0.37,8.90,6.00
6.90,0.12,0.36,2.20,0.04,18.00,111.00,0.99,3.41,0.82,11.90,8.00
7.10,0.21,0.32,2.20,0.04,28.00,141.00,0.99,3.20,0.57,10.00,7.00
8.80,0.36,0.44,1.90,0.04,9.00,121.00,1.00,3.19,0.48,9.90,6.00
7.40,0.26,0.43,6.00,0.02,22.00,125.00,0.99,3.13,0.55,11.50,6.00
7.40,0.26,0.43,6.00,0.02,22.00,125.00,0.99,3.13,0.55,11.50,6.00
6.80,0.23,0.29,12.20,0.04,38.00,236.00,1.00,3.35,0.52,9.80,6.00
6.10,0.34,0.27,2.60,0.02,20.00,105.00,0.99,3.40,0.67,12.20,7.00
7.30,0.26,0.31,1.60,0.04,39.00,173.00,0.99,3.19,0.51,11.40,6.00
6.50,0.30,0.32,2.00,0.04,34.00,90.00,0.99,3.37,0.68,11.00,7.00
7.30,0.26,0.31,1.60,0.04,39.00,173.00,0.99,3.19,0.51,11.40,6.00
6.50,0.30,0.32,2.00,0.04,34.00,90.00,0.99,3.37,0.68,11.00,7.00
5.00,0.31,0.00,6.40,0.05,43.00,166.00,0.99,3.30,0.63,9.90,6.00
5.80,0.26,0.18,1.20,0.03,40.00,114.00,0.99,3.42,0.40,11.00,7.00
5.90,0.26,0.30,1.00,0.04,38.00,114.00,0.99,3.58,0.48,9.40,5.00
7.00,0.31,0.29,1.40,0.04,33.00,128.00,0.99,3.12,0.36,12.20,7.00
5.80,0.26,0.18,1.20,0.03,40.00,114.00,0.99,3.42,0.40,11.00,7.00
5.60,0.19,0.39,1.10,0.04,17.00,67.00,0.99,3.23,0.53,10.30,6.00
6.80,0.18,0.28,8.70,0.05,52.00,242.00,1.00,3.22,0.53,10.50,6.00
7.00,0.29,0.26,1.60,0.04,12.00,87.00,0.99,3.08,0.46,10.50,6.00
6.60,0.26,0.29,1.40,0.04,13.00,67.00,0.99,3.05,0.49,10.90,6.00
6.80,0.18,0.28,8.50,0.05,52.00,242.00,1.00,3.22,0.53,10.50,6.00
6.60,0.20,0.38,7.90,0.05,30.00,145.00,0.99,3.32,0.56,11.00,7.00
8.00,0.29,0.29,13.20,0.05,26.00,113.00,1.00,3.25,0.37,9.70,6.00
6.10,0.28,0.35,12.80,0.05,63.00,229.00,1.00,3.08,0.40,8.90,5.00
5.90,0.31,0.30,7.70,0.05,60.00,206.00,1.00,3.20,0.39,9.60,6.00
6.90,0.21,0.28,2.40,0.06,49.00,159.00,0.99,3.02,0.47,8.80,8.00
8.40,0.19,0.42,1.60,0.05,9.00,101.00,0.99,3.06,0.65,11.10,4.00
8.30,0.27,0.45,1.30,0.05,8.00,72.00,0.99,3.08,0.61,10.30,4.00
7.10,0.25,0.39,2.10,0.04,30.00,124.00,0.99,3.28,0.43,12.20,8.00
8.00,0.23,0.37,9.60,0.05,23.00,159.00,1.00,3.32,0.47,9.80,4.00
7.50,0.24,0.31,13.00,0.05,46.00,217.00,1.00,3.08,0.53,8.80,5.00
6.30,0.33,0.20,5.80,0.04,24.00,144.00,0.99,3.15,0.63,9.90,5.00
6.20,0.33,0.19,5.60,0.04,22.00,143.00,0.99,3.15,0.63,9.90,5.00
6.30,0.34,0.19,5.80,0.04,22.00,145.00,0.99,3.15,0.63,9.90,5.00
5.80,0.29,0.05,0.80,0.04,11.00,30.00,0.99,3.36,0.35,9.20,5.00
8.00,0.32,0.26,1.20,0.05,11.50,88.00,0.99,3.24,0.37,9.50,4.00
5.60,0.29,0.05,0.80,0.04,11.00,30.00,0.99,3.36,0.35,9.20,5.00
7.40,0.13,0.39,4.70,0.04,36.00,137.00,1.00,3.36,0.56,10.30,7.00
7.70,0.30,0.32,1.60,0.04,23.00,124.00,0.99,2.93,0.33,11.00,6.00
7.00,0.24,0.34,1.40,0.03,27.00,107.00,0.99,3.06,0.39,11.90,6.00
8.60,0.18,0.40,1.10,0.04,20.00,107.00,0.99,2.94,0.32,10.20,7.00
7.00,0.11,0.32,4.60,0.06,59.00,144.00,1.00,3.55,0.44,9.40,7.00
7.70,0.32,0.62,10.60,0.04,56.00,153.00,1.00,3.13,0.44,8.90,6.00
7.70,0.32,0.62,10.60,0.04,56.00,153.00,1.00,3.13,0.44,8.90,6.00
6.50,0.26,0.27,12.90,0.04,69.00,215.00,1.00,3.17,0.43,10.00,6.00
7.90,0.28,0.41,2.00,0.04,50.00,152.00,0.99,3.45,0.49,10.70,8.00
6.30,0.27,0.23,2.90,0.05,13.00,100.00,0.99,3.28,0.43,9.80,5.00
5.40,0.60,0.10,2.80,0.04,26.00,80.00,0.99,3.36,0.38,9.30,5.00
6.70,0.25,0.33,2.90,0.06,52.00,173.00,0.99,3.02,0.48,9.50,7.00
6.50,0.25,0.35,12.00,0.06,47.00,179.00,1.00,3.58,0.47,10.00,5.00
6.10,0.36,0.58,15.00,0.04,42.00,115.00,1.00,3.15,0.51,9.00,5.00
7.70,0.17,0.52,5.90,0.02,21.00,84.00,0.99,3.14,0.40,11.90,7.00
6.40,0.26,0.43,12.60,0.03,64.00,230.00,1.00,3.08,0.38,8.90,5.00
6.50,0.26,0.28,12.50,0.05,80.00,225.00,1.00,3.18,0.41,10.00,6.00
5.90,0.29,0.33,7.40,0.04,58.00,205.00,0.99,3.26,0.41,9.60,5.00
6.20,0.28,0.43,13.00,0.04,64.00,233.00,1.00,3.08,0.38,8.90,5.00
6.10,0.27,0.44,6.70,0.04,61.00,230.00,1.00,3.12,0.40,8.90,5.00
6.40,0.43,0.32,1.40,0.05,10.00,67.00,0.99,3.08,0.41,11.40,5.00
6.10,0.36,0.58,15.00,0.04,42.00,115.00,1.00,3.15,0.51,9.00,5.00
6.20,0.35,0.29,7.30,0.04,56.00,244.00,1.00,3.36,0.55,10.00,6.00
7.70,0.24,0.29,15.30,0.04,39.00,194.00,1.00,3.06,0.47,9.60,7.00
6.20,0.34,0.28,7.50,0.03,40.00,197.00,0.99,3.14,0.60,9.70,5.00
6.30,0.27,0.46,11.75,0.04,61.00,212.00,1.00,3.25,0.53,9.50,6.00
5.40,0.42,0.19,1.60,0.04,27.00,88.00,0.99,3.54,0.41,10.00,7.00
6.90,0.48,0.36,3.50,0.03,31.00,135.00,0.99,3.14,0.38,12.20,7.00
6.50,0.18,0.33,8.00,0.05,16.00,131.00,1.00,3.28,0.44,8.70,7.00
6.70,0.15,0.29,5.00,0.06,28.00,105.00,0.99,3.52,0.44,10.20,7.00
8.20,0.35,1.00,18.20,0.05,55.00,205.00,1.00,2.96,0.43,9.60,5.00
8.50,0.16,0.35,1.60,0.04,24.00,147.00,0.99,2.96,0.36,10.00,5.00
6.80,0.71,0.25,3.20,0.05,10.00,57.00,1.00,3.36,0.52,9.50,4.00
7.30,0.25,0.39,6.40,0.03,8.00,84.00,0.99,3.18,0.46,11.50,5.00
7.60,0.35,0.26,1.90,0.04,15.00,134.00,0.99,3.08,0.38,9.50,5.00
7.60,0.22,0.34,9.70,0.04,26.00,143.00,1.00,3.08,0.49,9.80,6.00
6.50,0.17,0.33,1.40,0.03,14.00,99.00,0.99,3.23,0.55,10.10,6.00
8.20,0.23,0.37,1.30,0.04,39.00,117.00,0.99,2.99,0.36,10.00,5.00
7.60,0.22,0.34,9.70,0.04,26.00,143.00,1.00,3.08,0.49,9.80,6.00
7.60,0.35,0.26,1.90,0.04,15.00,134.00,0.99,3.08,0.38,9.50,5.00
7.50,0.32,0.26,1.80,0.04,13.00,133.00,0.99,3.07,0.38,9.50,5.00
6.60,0.23,0.32,0.90,0.04,25.00,79.00,0.99,3.39,0.54,10.20,7.00
6.60,0.20,0.32,1.10,0.04,25.00,78.00,0.99,3.39,0.54,10.20,7.00
7.30,0.24,0.34,15.40,0.05,38.00,174.00,1.00,3.03,0.42,9.00,6.00
7.30,0.24,0.34,15.40,0.05,38.00,174.00,1.00,3.03,0.42,9.00,6.00
8.00,0.42,0.36,5.00,0.04,34.00,101.00,0.99,3.13,0.57,12.30,7.00
7.30,0.24,0.34,15.40,0.05,38.00,174.00,1.00,3.03,0.42,9.00,6.00
6.10,0.19,0.25,4.00,0.02,23.00,112.00,0.99,3.37,0.51,11.60,6.00
5.90,0.26,0.21,12.50,0.03,36.00,152.00,1.00,3.28,0.43,9.50,6.00
8.30,0.23,0.43,3.20,0.04,14.00,101.00,0.99,3.15,0.36,11.50,5.00
6.50,0.34,0.28,1.80,0.04,43.00,188.00,0.99,3.13,0.37,9.60,6.00
6.80,0.22,0.35,17.50,0.04,38.00,153.00,1.00,3.24,0.42,9.00,6.00
6.50,0.08,0.33,1.90,0.03,23.00,93.00,0.99,3.34,0.70,12.00,7.00
5.50,0.42,0.09,1.60,0.02,18.00,68.00,0.99,3.33,0.51,11.40,7.00
5.10,0.42,0.01,1.50,0.02,25.00,102.00,0.99,3.38,0.36,12.30,7.00
6.00,0.27,0.19,1.70,0.02,24.00,110.00,0.99,3.32,0.47,12.60,7.00
6.80,0.22,0.35,17.50,0.04,38.00,153.00,1.00,3.24,0.42,9.00,6.00
6.50,0.08,0.33,1.90,0.03,23.00,93.00,0.99,3.34,0.70,12.00,7.00
7.10,0.13,0.38,1.80,0.05,14.00,114.00,0.99,3.32,0.90,11.70,6.00
7.60,0.30,0.25,4.30,0.05,22.00,111.00,1.00,3.12,0.49,9.20,5.00
6.60,0.13,0.30,4.90,0.06,47.00,131.00,0.99,3.51,0.45,10.30,6.00
6.50,0.14,0.33,7.60,0.05,53.00,189.00,1.00,3.25,0.49,8.60,5.00
7.70,0.28,0.33,6.70,0.04,32.00,155.00,1.00,3.39,0.62,10.70,7.00
6.00,0.20,0.71,1.60,0.15,10.00,54.00,0.99,3.12,0.47,9.80,5.00
6.00,0.19,0.71,1.50,0.15,9.00,55.00,0.99,3.12,0.46,9.80,6.00
7.70,0.28,0.33,6.70,0.04,32.00,155.00,1.00,3.39,0.62,10.70,7.00
5.10,0.39,0.21,1.70,0.03,15.00,72.00,0.99,3.50,0.45,12.50,6.00
5.70,0.36,0.34,4.20,0.03,21.00,77.00,0.99,3.41,0.45,11.90,6.00
6.90,0.19,0.33,1.60,0.04,63.00,149.00,0.99,3.44,0.52,10.80,5.00
6.00,0.41,0.21,1.90,0.05,29.00,122.00,0.99,3.42,0.52,10.50,6.00
7.40,0.28,0.30,5.30,0.05,44.00,161.00,0.99,3.12,0.48,10.30,6.00
7.40,0.30,0.30,5.20,0.05,45.00,163.00,0.99,3.12,0.45,10.30,6.00
6.90,0.19,0.33,1.60,0.04,63.00,149.00,0.99,3.44,0.52,10.80,5.00
7.70,0.28,0.39,8.90,0.04,8.00,117.00,0.99,3.06,0.38,12.00,7.00
8.60,0.16,0.38,3.40,0.04,41.00,143.00,0.99,2.95,0.39,10.20,6.00
8.20,0.26,0.44,1.30,0.05,7.00,69.00,0.99,3.14,0.62,10.20,4.00
6.50,0.25,0.27,15.20,0.05,75.00,217.00,1.00,3.19,0.39,9.90,5.00
7.00,0.24,0.18,1.30,0.05,9.00,62.00,0.99,3.38,0.47,10.10,4.00
8.60,0.18,0.36,1.80,0.04,24.00,187.00,1.00,3.25,0.55,9.50,6.00
7.80,0.27,0.34,1.60,0.05,27.00,154.00,0.99,3.05,0.45,10.50,6.00
6.00,0.26,0.34,1.30,0.05,6.00,29.00,0.99,3.29,0.63,10.40,5.00
6.10,0.24,0.27,9.80,0.06,33.00,152.00,1.00,3.31,0.47,9.50,6.00
8.00,0.24,0.30,17.45,0.06,43.00,184.00,1.00,3.05,0.50,9.20,6.00
7.60,0.21,0.60,2.10,0.05,47.00,165.00,0.99,3.05,0.54,10.10,7.00
8.00,0.19,0.36,1.80,0.05,16.00,84.00,0.99,3.15,0.45,9.80,7.00
6.40,0.28,0.41,6.80,0.05,61.00,216.00,1.00,3.09,0.46,9.40,5.00
6.40,0.28,0.43,7.10,0.05,60.00,221.00,1.00,3.09,0.45,9.40,6.00
6.90,0.24,0.39,1.30,0.06,18.00,136.00,0.99,3.31,0.48,10.40,7.00
5.80,0.36,0.26,3.30,0.04,40.00,153.00,0.99,3.34,0.55,11.30,6.00
6.60,0.18,0.28,3.30,0.04,18.00,91.00,0.99,3.42,0.64,10.80,6.00
5.80,0.36,0.26,3.30,0.04,40.00,153.00,0.99,3.34,0.55,11.30,6.00
5.10,0.52,0.06,2.70,0.05,30.00,79.00,0.99,3.32,0.43,9.30,5.00
6.60,0.22,0.37,1.20,0.06,45.00,199.00,0.99,3.37,0.55,10.30,7.00
8.30,0.15,0.39,1.30,0.06,32.00,146.00,0.99,3.08,0.39,10.50,6.00
7.60,0.16,0.44,1.40,0.04,25.00,109.00,0.99,3.11,0.75,10.30,6.00
7.70,0.16,0.41,1.70,0.05,60.00,173.00,0.99,3.24,0.66,11.20,7.00
8.30,0.16,0.48,1.70,0.06,31.00,98.00,0.99,3.15,0.41,10.30,6.00
6.20,0.25,0.47,11.60,0.05,62.00,210.00,1.00,3.19,0.50,9.50,5.00
6.10,0.16,0.27,12.60,0.06,63.00,162.00,1.00,3.66,0.43,8.90,5.00
7.60,0.39,0.22,2.80,0.04,19.00,113.00,0.99,3.03,0.29,10.20,5.00
6.80,0.37,0.47,11.20,0.07,44.00,136.00,1.00,2.98,0.88,9.20,5.00
7.60,0.16,0.44,1.40,0.04,25.00,109.00,0.99,3.11,0.75,10.30,6.00
7.10,0.18,0.42,1.40,0.05,47.00,157.00,0.99,2.95,0.31,10.50,6.00
8.30,0.14,0.26,1.50,0.05,56.00,189.00,0.99,3.21,0.62,9.50,6.00
8.60,0.20,0.42,1.50,0.04,35.00,125.00,0.99,3.11,0.49,11.40,7.00
8.60,0.20,0.42,1.50,0.04,35.00,125.00,0.99,3.11,0.49,11.40,7.00
6.80,0.19,0.32,7.05,0.02,54.00,188.00,0.99,3.25,0.37,11.10,8.00
7.60,0.19,0.38,10.60,0.06,48.00,174.00,1.00,3.13,0.38,10.50,6.00
6.80,0.34,0.74,2.80,0.09,23.00,185.00,0.99,3.51,0.70,12.00,6.00
6.20,0.15,0.46,1.60,0.04,38.00,123.00,0.99,3.38,0.51,9.70,6.00
6.60,0.14,0.44,1.60,0.04,47.00,140.00,0.99,3.32,0.51,10.20,6.00
8.00,0.55,0.17,8.20,0.04,13.00,60.00,1.00,3.09,0.30,9.50,4.00
7.00,0.24,0.35,1.50,0.05,51.00,128.00,0.99,3.41,0.59,10.40,7.00
6.30,0.60,0.44,11.00,0.05,50.00,245.00,1.00,3.19,0.57,9.30,4.00
7.10,0.20,0.41,2.10,0.05,24.00,166.00,0.99,3.48,0.62,10.50,6.00
6.20,0.34,0.29,7.60,0.05,45.00,232.00,1.00,3.35,0.62,10.00,6.00
7.10,0.30,0.36,6.80,0.06,44.50,234.00,1.00,3.49,0.64,10.20,6.00
7.10,0.30,0.36,6.80,0.06,44.50,234.00,1.00,3.49,0.64,10.20,6.00
7.90,0.64,0.46,10.60,0.24,33.00,227.00,1.00,2.87,0.74,9.10,3.00
8.80,0.17,0.38,1.80,0.04,39.00,148.00,0.99,3.16,0.67,10.20,6.00
7.50,0.17,0.37,1.50,0.06,18.00,75.00,0.99,3.54,0.88,10.70,5.00
7.10,0.47,0.24,6.00,0.04,11.00,77.00,1.00,3.21,0.56,9.70,5.00
7.10,0.15,0.34,5.30,0.03,33.00,104.00,1.00,3.37,0.52,9.30,7.00
7.50,0.17,0.34,1.40,0.04,13.00,102.00,0.99,3.05,0.74,11.00,5.00
8.20,0.68,0.30,2.10,0.05,17.00,138.00,1.00,3.22,0.71,10.80,4.00
7.70,0.28,0.30,1.00,0.04,19.00,75.00,0.99,3.01,0.56,10.70,5.00
7.30,0.49,0.32,5.20,0.04,18.00,104.00,1.00,3.24,0.45,10.70,4.00
7.50,0.33,0.48,19.45,0.05,55.00,243.00,1.00,2.95,0.40,8.80,5.00
7.20,0.21,0.37,1.60,0.05,23.00,94.00,0.99,3.16,0.48,10.90,7.00
7.30,0.15,0.40,2.00,0.05,24.00,92.00,0.99,3.14,0.45,10.50,5.00
6.50,0.19,0.10,1.30,0.05,23.00,107.00,0.99,3.29,0.45,10.00,5.00
7.00,0.31,0.52,1.70,0.03,5.00,61.00,0.99,3.07,0.43,10.40,5.00
8.30,0.40,0.38,1.10,0.04,15.00,75.00,0.99,3.03,0.43,9.20,5.00
6.10,0.37,0.36,4.70,0.04,36.00,116.00,0.99,3.31,0.62,12.60,6.00
7.30,0.24,0.34,7.50,0.05,29.00,152.00,1.00,3.10,0.54,9.00,5.00
6.90,0.21,0.81,1.10,0.14,52.00,123.00,0.99,3.03,0.39,9.20,6.00
7.60,0.29,0.42,1.30,0.04,18.00,86.00,0.99,2.99,0.39,11.30,5.00
9.40,0.29,0.55,2.20,0.05,17.00,119.00,1.00,3.12,0.69,10.30,4.00
7.00,0.31,0.52,1.70,0.03,5.00,61.00,0.99,3.07,0.43,10.40,5.00
8.60,0.26,0.41,2.20,0.05,29.00,111.00,0.99,2.96,0.44,10.00,5.00
7.50,0.21,0.34,1.20,0.06,26.00,111.00,0.99,3.51,0.47,10.70,6.00
7.20,0.51,0.24,10.00,0.09,35.00,197.00,1.00,3.41,0.47,9.00,5.00
7.50,0.21,0.34,1.20,0.06,26.00,111.00,0.99,3.51,0.47,10.70,6.00
5.30,0.30,0.20,1.10,0.08,48.00,166.00,0.99,3.30,0.54,8.70,4.00
8.00,0.26,0.36,2.00,0.05,30.00,121.00,0.99,3.09,0.72,11.60,7.00
7.00,0.21,0.28,7.50,0.07,45.00,185.00,1.00,3.34,0.55,9.40,5.00
6.70,0.26,0.26,4.00,0.08,35.50,216.00,1.00,3.31,0.68,9.50,5.00
6.70,0.26,0.26,4.10,0.07,36.00,202.00,1.00,3.30,0.67,9.50,5.00
8.10,0.26,0.37,1.90,0.07,48.00,159.00,0.99,3.37,0.70,10.90,6.00
8.30,0.22,0.38,14.80,0.05,32.00,126.00,1.00,3.22,0.50,9.70,5.00
6.40,0.30,0.51,5.50,0.05,62.00,172.00,0.99,3.08,0.45,9.10,6.00
7.50,0.19,0.34,2.60,0.04,33.00,125.00,0.99,3.10,0.49,11.10,7.00
8.80,0.33,0.44,6.35,0.02,9.00,87.00,0.99,2.96,0.40,12.60,7.00
6.90,0.20,0.36,1.50,0.03,38.00,147.00,0.99,3.35,0.56,11.00,6.00
8.00,0.37,0.32,1.60,0.04,32.00,166.00,0.99,3.00,0.55,11.30,7.00
8.30,0.22,0.38,14.80,0.05,32.00,126.00,1.00,3.22,0.50,9.70,5.00
8.20,0.29,0.33,9.10,0.04,28.00,118.00,1.00,2.96,0.40,10.90,7.00
7.70,0.34,0.30,8.00,0.05,25.00,192.00,1.00,2.97,0.47,10.90,5.00
6.20,0.55,0.45,12.00,0.05,27.00,186.00,1.00,3.17,0.50,9.30,6.00
6.40,0.40,0.19,3.20,0.03,28.00,124.00,0.99,3.22,0.54,12.70,7.00
7.50,0.28,0.33,7.70,0.05,42.00,180.00,1.00,3.37,0.59,10.10,6.00
7.80,0.26,0.44,1.30,0.04,43.00,132.00,0.99,3.18,0.65,10.00,5.00
6.50,0.26,0.34,16.30,0.05,56.00,197.00,1.00,3.49,0.42,9.80,5.00
6.30,0.34,0.29,6.20,0.05,29.00,227.00,1.00,3.29,0.53,10.10,6.00
6.80,0.15,0.33,4.70,0.06,31.00,118.00,1.00,3.43,0.39,9.00,7.00
6.30,0.27,0.25,5.80,0.04,52.00,155.00,1.00,3.28,0.38,9.40,6.00
6.30,0.27,0.25,5.80,0.04,52.00,155.00,1.00,3.28,0.38,9.40,6.00
7.40,0.20,0.37,16.95,0.05,43.00,190.00,1.00,3.03,0.42,9.20,6.00
6.30,0.23,0.21,5.10,0.04,29.00,142.00,0.99,3.36,0.33,10.10,7.00
7.30,0.31,0.69,10.20,0.04,58.00,160.00,1.00,3.06,0.45,8.60,5.00
5.20,0.24,0.45,3.80,0.03,21.00,128.00,0.99,3.55,0.49,11.20,8.00
7.00,0.24,0.32,1.30,0.04,39.00,123.00,0.99,3.17,0.42,11.20,8.00
7.40,0.20,0.37,16.95,0.05,43.00,190.00,1.00,3.03,0.42,9.20,6.00
7.00,0.17,0.33,4.00,0.03,17.00,127.00,0.99,3.19,0.39,10.60,7.00
8.30,0.21,0.58,17.10,0.05,62.00,213.00,1.00,3.01,0.51,9.30,6.00
7.20,0.21,0.35,14.50,0.05,35.00,178.00,1.00,3.05,0.47,8.90,6.00
7.10,0.21,0.40,1.20,0.07,24.00,156.00,0.99,3.42,0.43,10.60,6.00
8.40,0.17,0.31,6.70,0.04,29.00,132.00,0.99,3.10,0.32,10.60,7.00
7.40,0.24,0.31,8.40,0.05,52.00,183.00,1.00,3.09,0.32,8.80,5.00
5.30,0.24,0.33,1.30,0.03,25.00,97.00,0.99,3.59,0.38,11.00,8.00
6.50,0.28,0.26,8.80,0.04,44.00,139.00,1.00,3.32,0.37,10.20,6.00
6.30,0.23,0.21,5.10,0.04,29.00,142.00,0.99,3.36,0.33,10.10,7.00
6.50,0.29,0.25,10.60,0.04,32.00,120.00,1.00,3.31,0.34,10.10,6.00
5.80,0.29,0.21,2.60,0.03,12.00,120.00,0.99,3.39,0.79,14.00,7.00
6.30,0.27,0.25,5.80,0.04,52.00,155.00,1.00,3.28,0.38,9.40,6.00
6.30,0.17,0.42,2.80,0.03,45.00,107.00,0.99,3.27,0.43,11.80,6.00
6.30,0.16,0.40,1.60,0.03,59.00,148.00,0.99,3.44,0.53,11.40,5.00
7.90,0.29,0.39,6.70,0.04,6.00,117.00,0.99,3.12,0.42,10.70,5.00
7.30,0.31,0.69,10.20,0.04,58.00,160.00,1.00,3.06,0.45,8.60,5.00
5.50,0.32,0.45,4.90,0.03,25.00,191.00,0.99,3.51,0.49,11.50,7.00
5.20,0.24,0.45,3.80,0.03,21.00,128.00,0.99,3.55,0.49,11.20,8.00
7.20,0.37,0.15,2.00,0.03,27.00,87.00,0.99,3.30,0.59,12.60,7.00
6.10,0.29,0.27,1.70,0.02,13.00,76.00,0.99,3.21,0.51,12.60,7.00
9.20,0.22,0.40,2.40,0.05,18.00,151.00,1.00,3.04,0.46,9.30,4.00
7.20,0.37,0.15,2.00,0.03,27.00,87.00,0.99,3.30,0.59,12.60,7.00
8.00,0.18,0.37,1.30,0.04,15.00,96.00,0.99,3.06,0.61,12.10,6.00
6.50,0.22,0.34,12.00,0.05,55.00,177.00,1.00,3.52,0.44,9.90,6.00
7.40,0.18,0.40,1.60,0.05,22.00,102.00,0.99,3.28,0.44,10.70,5.00
6.50,0.52,0.17,1.40,0.05,5.00,26.00,0.99,3.26,0.32,10.00,4.00
7.00,0.15,0.38,2.20,0.05,33.00,96.00,0.99,3.13,0.39,10.40,8.00
5.90,0.42,0.13,1.40,0.04,11.00,64.00,0.99,3.29,0.52,10.50,5.00
8.10,0.45,0.34,8.30,0.04,33.00,216.00,1.00,3.31,0.64,9.70,5.00
5.80,0.42,0.13,1.40,0.04,11.00,64.00,0.99,3.29,0.52,10.50,5.00
6.40,0.50,0.16,12.90,0.04,26.00,138.00,1.00,3.28,0.33,9.00,5.00
6.70,0.11,0.32,12.40,0.05,34.00,106.00,1.00,3.54,0.45,9.20,6.00
6.00,0.40,0.30,1.60,0.05,30.00,117.00,0.99,3.17,0.48,10.10,6.00
6.60,0.25,0.39,1.45,0.04,40.00,89.00,0.99,3.35,0.40,11.40,7.00
9.80,0.36,0.45,1.60,0.04,11.00,124.00,0.99,2.93,0.46,10.80,5.00
9.60,0.23,0.40,1.50,0.04,19.00,135.00,0.99,2.96,0.49,10.90,5.00
6.30,0.55,0.45,13.00,0.05,33.00,182.00,1.00,3.20,0.46,9.20,6.00
6.50,0.12,0.29,1.95,0.04,73.00,166.00,0.99,3.12,0.25,12.90,7.00
6.40,0.13,0.29,5.85,0.04,24.00,99.00,0.99,3.23,0.32,12.00,7.00
5.70,0.10,0.27,1.30,0.05,21.00,100.00,0.99,3.27,0.46,9.50,5.00
7.90,0.25,0.29,5.30,0.03,33.00,117.00,0.99,3.06,0.32,11.80,7.00
6.90,0.20,0.28,1.20,0.05,36.00,159.00,0.99,3.19,0.43,9.10,6.00
6.90,0.23,0.34,4.00,0.05,24.00,128.00,0.99,3.20,0.52,9.70,6.00
6.80,0.39,0.31,14.35,0.04,28.00,162.00,1.00,3.17,0.54,9.10,5.00
8.70,0.22,0.42,2.30,0.05,27.00,114.00,0.99,2.99,0.43,10.00,5.00
7.40,0.41,0.34,4.70,0.04,19.00,127.00,1.00,3.25,0.42,10.40,5.00
6.70,0.25,0.34,12.85,0.05,30.00,161.00,1.00,3.44,0.47,9.50,6.00
6.00,0.26,0.42,5.20,0.03,70.00,178.00,0.99,3.40,0.40,12.30,8.00
6.10,0.31,0.37,8.40,0.03,70.00,170.00,0.99,3.42,0.40,11.70,8.00
9.20,0.28,0.46,3.20,0.06,39.00,133.00,1.00,3.14,0.58,9.50,5.00
9.00,0.31,0.49,6.90,0.03,26.00,91.00,0.99,2.99,0.34,11.50,5.00
8.50,0.16,0.33,1.00,0.08,17.00,57.00,0.99,3.14,0.46,10.60,6.00
9.30,0.34,0.49,7.30,0.05,30.00,146.00,1.00,3.17,0.61,10.20,5.00
9.20,0.28,0.46,3.20,0.06,39.00,133.00,1.00,3.14,0.58,9.50,5.00
7.20,0.24,0.30,1.60,0.05,27.00,131.00,0.99,3.25,0.45,10.50,5.00
7.20,0.25,0.32,1.50,0.05,27.00,132.00,0.99,3.26,0.44,10.50,5.00
6.80,0.32,0.18,7.50,0.04,71.00,223.00,1.00,3.14,0.41,8.90,5.00
9.10,0.27,0.32,1.10,0.03,15.00,151.00,0.99,3.03,0.41,10.60,5.00
8.90,0.34,0.32,1.30,0.04,12.00,188.00,1.00,3.17,0.49,9.50,5.00
7.00,0.17,0.37,5.70,0.03,29.00,111.00,0.99,3.20,0.49,10.80,6.00
6.70,0.25,0.23,7.20,0.04,61.00,220.00,1.00,3.14,0.35,9.50,5.00
6.90,0.32,0.17,7.60,0.04,69.00,219.00,1.00,3.13,0.40,8.90,5.00
6.80,0.32,0.18,7.50,0.04,71.00,223.00,1.00,3.14,0.41,8.90,5.00
6.10,0.60,0.00,1.30,0.04,24.00,79.00,0.99,3.31,0.38,9.40,4.00
5.30,0.40,0.07,1.30,0.04,26.00,102.00,0.99,3.50,0.35,10.60,6.00
7.90,0.16,0.30,4.80,0.04,37.00,171.00,1.00,3.47,0.44,9.00,4.00
7.60,0.33,0.36,2.10,0.03,26.00,172.00,0.99,3.42,0.48,10.50,4.00
7.80,0.30,0.29,16.85,0.05,23.00,135.00,1.00,3.16,0.38,9.00,6.00
7.80,0.30,0.29,16.85,0.05,23.00,135.00,1.00,3.16,0.38,9.00,6.00
5.70,0.26,0.27,4.10,0.20,73.50,189.50,0.99,3.27,0.38,9.40,6.00
7.80,0.30,0.29,16.85,0.05,23.00,135.00,1.00,3.16,0.38,9.00,6.00
7.50,0.14,0.34,1.30,0.06,50.00,153.00,0.99,3.29,0.80,9.60,6.00
7.80,0.30,0.29,16.85,0.05,23.00,135.00,1.00,3.16,0.38,9.00,6.00
6.60,0.25,0.41,7.40,0.04,29.00,151.00,0.99,3.15,0.60,10.20,7.00
5.70,0.26,0.27,4.10,0.20,73.50,189.50,0.99,3.27,0.38,9.40,6.00
8.20,0.23,0.49,0.90,0.06,15.00,73.00,0.99,3.07,0.38,10.40,6.00
